from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5810406;115;8042;115;115;8042;23;10762
5785641;5810406;118;8248;118;118;8248;23;11079
5785642;5810406;119;8365;119;119;8365;26;11263
5785643;5810406;124;8658;124;124;8658;33;14314
5787544;5810406;108;7552;108;108;7552;31;11479
5787545;5810406;109;7622;109;109;7622;30;11470
5787546;5810406;-1;-1;-1;-1;-1;23;10289
5787547;5810406;125;8747;125;125;8747;22;10680
5787548;5810406;121;8474;121;121;8474;21;10802
5787549;5810406;125;8767;125;125;8767;23;11045
5787550;5810406;210;14723;207;197;28611;30;14113
5789447;5810406;75;5278;75;75;5278;26;11088
5789448;5810406;79;5557;79;79;5557;26;10821
5789449;5810406;-1;-1;-1;-1;-1;26;11064
5789450;5810406;-1;-1;-1;-1;-1;29;11382
5789451;5810406;-1;-1;-1;-1;-1;25;10297
5789452;5810406;133;9318;133;133;9318;22;10189
5789453;5810406;128;8952;128;128;8952;21;10365
5789454;5810406;125;8755;125;125;8755;21;10629
5789455;5810406;134;9386;134;134;9386;22;10850
5789456;5810406;208;14563;205;195;28451;28;14023
5791353;5810406;83;5824;83;83;5824;25;11378
5791354;5810406;80;5592;80;80;5592;25;11075
5791355;5810406;80;5621;80;80;5621;24;10635
5791356;5810406;85;5969;85;85;5969;26;10788
5791357;5810406;-1;-1;-1;-1;-1;30;11374
5791358;5810406;-1;-1;-1;-1;-1;22;9683
5791359;5810406;133;9300;133;133;9300;20;10006
5791360;5810406;130;9109;130;130;9109;22;10374
5791361;5810406;131;9186;131;131;9186;24;10729
5791362;5810406;136;9496;136;136;9496;25;11037
5791363;5810406;208;14558;205;195;28446;30;13919
5793258;5810406;89;6209;89;89;6209;26;11723
5793259;5810406;84;5910;84;84;5910;27;11588
5793260;5810406;85;5943;85;85;5943;27;11001
5793261;5810406;84;5904;84;84;5904;23;10511
5793262;5810406;86;6011;86;86;6011;25;10610
5793263;5810406;-1;-1;-1;-1;-1;28;10515
5793264;5810406;-1;-1;-1;-1;-1;22;9627
5793265;5810406;135;9473;136;132;14356;21;9960
5793266;5810406;136;9532;137;132;14365;24;10157
5793267;5810406;-1;-1;-1;-1;-1;27;10952
5793268;5810406;-1;-1;-1;-1;-1;27;11178
5793269;5810406;-1;-1;-1;-1;-1;24;9990
5793270;5810406;221;15439;208;190;28131;29;13374
5795164;5810406;90;6285;90;90;6285;27;11872
5795165;5810406;91;6366;91;91;6366;25;10539
5795166;5810406;-1;-1;-1;-1;-1;26;10388
5795167;5810406;90;6304;90;90;6304;23;10009
5795168;5810406;89;6201;89;89;6201;24;10097
5795169;5810406;100;7035;100;94;24674;26;10319
5795170;5810406;143;9977;140;128;14045;20;9366
5795171;5810406;138;9672;138;126;13965;21;9667
5795172;5810406;139;9712;138;131;14299;23;10109
5795173;5810406;-1;-1;-1;-1;-1;24;10200
5795174;5810406;179;12515;144;132;14337;22;9834
5795175;5810406;178;12452;143;131;14274;24;9971
5795176;5810406;221;15474;208;191;28167;22;9989
5797069;5810406;62;4314;62;62;4314;16;8409
5797070;5810406;93;6482;93;93;6482;28;12150
5797071;5810406;94;6599;94;94;6599;24;10441
5797072;5810406;-1;-1;-1;-1;-1;23;10157
5797073;5810406;93;6478;91;89;24386;23;10242
5797074;5810406;95;6643;93;88;24282;23;9868
5797075;5810406;98;6851;97;91;24490;25;10201
5797076;5810406;144;10079;141;123;13729;21;9313
5797077;5810406;143;10019;141;125;13855;24;9745
5797078;5810406;-1;-1;-1;-1;-1;26;10283
5797079;5810406;-1;-1;-1;-1;-1;23;10119
5797080;5810406;176;12318;143;129;14141;20;9330
5797081;5810406;176;12304;143;129;14126;24;9950
5797082;5810406;186;13016;162;150;24598;21;9976
5798974;5810406;42;2941;42;42;2941;-1;-1
5798975;5810406;98;6843;98;98;6843;28;12498
5798976;5810406;98;6838;98;98;6838;30;12385
5798977;5810406;-1;-1;-1;-1;-1;24;10481
5798978;5810406;-1;-1;-1;-1;-1;23;9952
5798979;5810406;98;6845;95;88;24033;23;10310
5798980;5810406;96;6736;95;88;24032;23;9686
5798981;5810406;103;7236;102;92;24304;25;10074
5798982;5810406;147;10285;135;121;13561;20;9173
5798983;5810406;148;10381;131;119;13435;22;9114
5798984;5810406;156;10909;131;119;13428;24;9105
5798985;5810406;171;11971;143;124;13793;20;8997
5798986;5810406;169;11833;138;122;13655;21;9263
5798987;5810406;173;12088;143;126;13911;23;9723
5798988;5810406;180;12600;161;144;24182;21;9452
5800879;5810406;35;2445;35;35;2445;10;2596
5800880;5810406;39;2724;39;39;2724;-1;-1
5800881;5810406;101;7048;101;101;7048;18;8178
5800882;5810406;134;9414;127;110;10125;24;9703
5800883;5810406;135;9449;128;111;10161;23;9480
5800884;5810406;-1;-1;-1;-1;-1;23;9769
5800885;5810406;100;6968;96;86;23874;22;9471
5800886;5810406;102;7113;101;88;24019;24;9429
5800887;5810406;105;7385;102;92;24291;25;10063
5800888;5810406;156;10950;123;109;12772;20;8289
5800889;5810406;151;10542;128;115;13176;20;8878
5800890;5810406;153;10733;130;116;13252;22;8791
5800891;5810406;166;11640;136;119;13462;19;8668
5800892;5810406;165;11576;131;118;13399;20;9105
5800893;5810406;168;11738;136;121;13561;22;9271
5800894;5810406;179;12509;161;142;24091;21;9458
5800895;5810406;175;12269;158;140;29181;21;9358
5802783;5810406;34;2346;34;34;2346;11;2529
5802784;5810406;32;2227;32;32;2227;13;2760
5802785;5810406;36;2506;36;36;2506;-1;-1
5802786;5810406;-1;-1;-1;-1;-1;17;7930
5802787;5810406;133;9313;126;109;10024;22;9514
5802788;5810406;130;9115;122;105;24680;22;9267
5802789;5810406;130;9116;122;105;24681;24;10010
5802790;5810406;103;7218;101;89;24124;23;9532
5802791;5810406;103;7236;102;88;23481;22;9073
5802792;5810406;109;7612;103;92;23719;22;9259
5802793;5810406;153;10721;123;106;12543;19;8231
5802794;5810406;158;11057;123;111;12879;19;8516
5802795;5810406;158;11057;123;111;12880;19;8517
5802796;5810406;160;11171;128;113;12993;20;8713
5802797;5810406;165;11532;131;118;13354;21;9031
5802798;5810406;167;11707;136;120;13529;23;8764
5802799;5810406;171;11953;155;134;23535;19;8772
5802800;5810406;170;11873;155;133;23455;20;8939
5802801;5810406;175;12242;158;140;29154;21;9298
5804689;5810406;31;2180;31;31;2180;11;2516
5804690;5810406;29;2011;29;29;2011;12;2507
5804691;5810406;36;2535;36;36;2535;8;1297
5804692;5810406;39;2727;39;39;2727;11;1263
5804693;5810406;133;9314;126;109;10026;23;9578
5804694;5810406;127;8874;117;102;24440;22;9184
5804695;5810406;126;8801;115;101;24367;23;10096
5804696;5810406;111;7743;101;86;23346;20;8724
5804697;5810406;107;7504;96;85;23252;21;8814
5804698;5810406;110;7674;104;93;23780;22;9360
5804699;5810406;150;10499;120;103;12321;18;7947
5804700;5810406;149;10458;117;106;23312;19;7887
5804701;5810406;153;10708;123;106;12530;20;8276
5804702;5810406;154;10771;123;107;12593;20;8095
5804703;5810406;156;10921;123;109;12743;19;8270
5804704;5810406;158;11069;126;111;12891;22;8690
5804705;5810406;167;11709;150;131;23291;19;8586
5804706;5810406;167;11670;149;130;23252;22;8875
5804707;5810406;-1;-1;-1;-1;-1;24;9388
5806593;5810406;31;2196;31;31;2196;12;3030
5806594;5810406;26;1826;26;26;1826;10;2265
5806595;5810406;26;1792;26;26;1792;10;2147
5806596;5810406;33;2301;33;33;2301;15;6775
5806597;5810406;38;2676;38;38;2676;8;1015
5806598;5810406;43;2986;43;43;2986;7;777
5806599;5810406;124;8711;113;100;24277;21;8935
5806600;5810406;121;8484;111;96;24049;22;8792
5806601;5810406;113;7894;104;88;23460;20;8646
5806602;5810406;112;7823;104;87;23389;21;8843
5806603;5810406;114;7971;105;89;23537;20;7892
5806604;5810406;150;10495;120;103;12318;19;7830
5806605;5810406;145;10182;114;102;23036;19;7692
5806606;5810406;148;10369;115;104;23223;19;7753
5806607;5810406;151;10552;120;104;12374;20;8116
5806608;5810406;155;10873;123;108;12695;22;8460
5806609;5810406;160;11193;128;113;13015;21;8641
5806610;5810406;162;11354;143;125;12401;20;8322
5806611;5810406;164;11513;147;128;23095;22;8727
5806612;5810406;168;11759;152;132;23341;24;8878
5806613;5810406;191;13375;164;145;24957;24;10177
5808496;5810406;36;2542;36;36;2542;13;3087
5808497;5810406;36;2522;36;36;2522;13;3050
5808498;5810406;35;2419;35;35;2419;12;2781
5808499;5810406;27;1901;27;27;1901;9;1723
5808500;5810406;31;2192;31;31;2192;15;7026
5808501;5810406;43;3027;43;43;3027;7;889
5808502;5810406;43;3039;43;43;3039;9;764
5808503;5810406;126;8809;115;101;24374;23;9063
5808504;5810406;121;8498;111;97;24063;21;8703
5808505;5810406;116;8118;104;91;23683;20;8362
5808506;5810406;116;8105;104;91;23671;20;8336
5808507;5810406;143;10035;111;100;22889;18;7666
5808508;5810406;141;9850;110;97;22704;18;7367
5808509;5810406;143;9985;110;99;22839;17;7443
5808510;5810406;147;10287;115;103;23141;21;7932
5808511;5810406;145;10166;114;101;23020;23;8333
5808512;5810406;-1;-1;-1;-1;-1;23;8519
5808513;5810406;159;11126;143;124;12417;19;7812
5808514;5810406;158;11042;140;123;12332;18;8072
5808515;5810406;162;11332;143;125;12379;19;8336
5808516;5810406;165;11569;149;129;23151;22;8795
5808517;5810406;171;11981;152;135;23562;25;8981
5808518;5810406;177;12365;159;141;29277;26;10456
5810399;5810406;41;2892;41;41;2892;-1;-1
5810400;5810406;40;2817;40;40;2817;15;3228
5810401;5810406;39;2711;39;39;2711;14;3187
5810402;5810406;29;2044;29;29;2044;10;2166
5810403;5810406;29;2058;29;29;2058;9;1694
5810404;5810406;33;2298;33;33;2298;18;7033
5810405;5810406;-1;-1;-1;-1;-1;8;931
5810406;5810406;0;0;0;0;0;0;0
5810407;5810406;-1;-1;-1;-1;-1;22;8812
5810408;5810406;-1;-1;-1;-1;-1;20;8477
5810409;5810406;118;8270;105;88;22642;19;8102
5810410;5810406;119;8360;103;85;22453;19;7924
5810411;5810406;144;10107;114;101;22961;19;7614
5810412;5810406;137;9557;104;93;22411;17;7310
5810413;5810406;137;9592;101;93;22446;17;7097
5810414;5810406;139;9764;107;96;22618;19;7360
5810415;5810406;145;10170;114;101;23024;23;7676
5810416;5810406;154;10771;136;119;12061;20;7600
5810417;5810406;153;10739;136;118;12029;18;7679
5810418;5810406;157;10997;140;122;12287;19;8118
5810419;5810406;165;11532;147;128;23113;22;8800
5810420;5810406;168;11752;152;132;23334;23;8863
5810421;5810406;171;11968;152;135;23550;25;8970
5810422;5810406;174;12210;158;139;29122;24;10291
