from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5793260;57;3994;16;10;3638;57;57;3994;57;57;3994;11;4314;10;4314;9
5785641;5793260;60;4200;37;23;8619;60;60;4200;60;60;4200;16;4524;15;4524;12
5785642;5793260;62;4318;37;23;8619;62;62;4318;62;62;4318;16;8986;15;8986;12
5785643;5793260;66;4610;40;25;9985;66;66;4610;66;66;4610;16;11372;15;11371;12
5787544;5793260;50;3504;13;8;3099;50;50;3504;50;50;3504;10;3888;9;3888;8
5787545;5793260;51;3574;13;8;3099;51;51;3574;51;51;3574;10;4174;9;4174;8
5787546;5793260;54;3799;13;8;3099;54;54;3799;54;54;3799;16;8012;15;8012;11
5787547;5793260;67;4699;37;23;8619;67;67;4699;67;67;4699;16;8403;15;8403;11
5787548;5793260;63;4426;37;23;8619;63;63;4426;63;63;4426;16;8525;15;8525;11
5787549;5793260;67;4719;37;23;8619;67;67;4719;67;67;4719;16;8768;15;8768;12
5787550;5793260;153;10676;40;25;9985;153;153;10676;153;143;28550;16;11171;15;11169;12
5789447;5793260;16;1141;1;1;337;16;16;1141;16;16;1141;5;1269;5;1269;4
5789448;5793260;17;1161;1;1;334;17;17;1161;17;17;1161;5;952;5;952;4
5789449;5793260;17;1222;4;2;1024;17;17;1222;17;17;1222;5;1264;5;1264;4
5789450;5793260;53;3741;4;2;1024;53;53;3741;53;53;3741;5;1583;5;1583;4
5789451;5793260;54;3779;13;8;3099;54;54;3779;54;54;3779;10;4135;9;4135;8
5789452;5793260;75;5270;13;8;3099;75;75;5270;75;75;5270;15;7911;14;7911;11
5789453;5793260;70;4905;37;23;8619;70;70;4905;70;70;4905;16;8088;15;8088;11
5789454;5793260;67;4708;37;23;8619;67;67;4708;67;67;4708;16;8352;15;8352;11
5789455;5793260;76;5338;40;25;10018;76;76;5338;76;76;5338;16;8573;15;8573;12
5789456;5793260;150;10515;40;25;10018;150;150;10515;151;141;28390;21;11081;19;11080;15
5791353;5793260;21;1501;6;4;1387;21;21;1501;21;21;1501;7;2114;6;2114;6
5791354;5793260;18;1268;3;2;663;18;18;1268;18;18;1268;-1;1206;-1;1206;-1
5791355;5793260;13;925;2;2;575;13;13;925;13;13;925;4;836;4;836;4
5791356;5793260;18;1273;4;3;1054;18;18;1273;18;18;1273;5;1461;5;1461;5
5791357;5793260;23;1578;4;2;1024;23;23;1578;23;23;1578;5;1575;5;1575;4
5791358;5793260;79;5527;4;2;1024;79;79;5527;79;79;5527;5;7406;5;7406;4
5791359;5793260;75;5252;4;2;1024;75;75;5252;75;75;5252;15;7729;14;7729;11
5791360;5793260;72;5061;37;23;8619;72;72;5061;72;72;5061;15;8097;14;8097;11
5791361;5793260;73;5137;40;25;10018;73;73;5137;73;73;5137;15;8452;14;8452;11
5791362;5793260;78;5448;40;25;10018;78;78;5448;78;78;5448;16;8760;15;8760;12
5791363;5793260;150;10510;40;25;10018;150;150;10510;151;140;28385;21;10977;19;10975;15
5793258;5793260;27;1887;2;1;471;27;27;1887;27;27;1887;6;1879;6;1879;6
5793259;5793260;23;1586;2;1;414;23;23;1586;23;23;1586;6;1719;5;1719;5
5793260;5793260;0;0;-1;-1;-1;0;0;0;0;0;0;-1;0;-1;0;-1
5793261;5793260;17;1208;3;2;840;17;17;1208;17;17;1208;5;913;5;913;4
5793262;5793260;19;1295;4;2;949;19;19;1295;19;19;1295;5;1338;5;1338;4
5793263;5793260;36;2496;4;2;949;36;36;2496;36;36;2496;5;2444;5;2444;4
5793264;5793260;85;5929;7;4;1864;84;79;8423;85;85;5929;15;7350;14;7350;11
5793265;5793260;77;5424;6;4;1802;77;77;5424;77;77;5424;15;7683;14;7683;11
5793266;5793260;78;5485;28;18;7149;78;78;5485;78;78;5485;15;7880;14;7880;11
5793267;5793260;76;5298;28;18;7149;76;76;5298;76;76;5298;15;8675;14;8675;11
5793268;5793260;81;5696;40;25;10018;81;81;5696;81;81;5696;16;8901;15;8901;12
5793269;5793260;165;11571;42;27;10294;162;146;11560;160;150;29066;22;7713;20;7713;15
5793270;5793260;163;11390;42;27;10294;161;143;11380;158;148;28885;22;11189;20;11187;15
5795164;5793260;28;1962;2;1;414;28;28;1962;28;28;1962;6;2003;6;2003;5
5795165;5793260;29;2043;2;1;414;29;29;2043;29;29;2043;6;3229;6;3229;5
5795166;5793260;28;1973;9;6;2602;28;28;1973;28;28;1973;8;3078;8;3078;7
5795167;5793260;23;1589;3;2;874;23;23;1589;23;23;1589;5;1463;5;1463;5
5795168;5793260;21;1486;7;4;1864;21;21;1486;21;21;1486;6;2025;6;2025;6
5795169;5793260;33;2309;7;4;1864;33;33;2309;33;33;2309;6;2248;6;2248;6
5795170;5793260;85;5929;6;4;1802;82;75;8153;84;75;8153;6;7089;6;7089;6
5795171;5793260;80;5625;7;5;1949;80;74;8072;80;74;8072;15;7390;14;7390;11
